epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3840.75,0.76296,0.69069,1.23782,0.79195,0.74005,0.80238,0.5979,1.01103,0.88586,1.56167,0.00667789,0.00667789,0.00667789
61,3904.66,0.7519,0.66366,1.22884,0.80825,0.74882,0.81365,0.59676,1.01942,0.87954,1.57787,0.00657963,0.00657963,0.00657963
62,3968.71,0.75153,0.66796,1.22706,0.79342,0.76756,0.81342,0.59864,1.01173,0.87527,1.5596,0.00648071,0.00648071,0.00648071
63,4032.84,0.73323,0.65246,1.2189,0.78388,0.74816,0.80006,0.58892,1.02362,0.87685,1.58173,0.00638115,0.00638115,0.00638115
64,4096.32,0.72995,0.65252,1.21136,0.83522,0.72978,0.81593,0.60164,1.02242,0.85172,1.55774,0.00628101,0.00628101,0.00628101
65,4159.97,0.71685,0.62922,1.20282,0.77047,0.77498,0.81112,0.59363,1.02258,0.87567,1.57971,0.00618034,0.00618034,0.00618034
66,4224.36,0.72428,0.63839,1.20609,0.81414,0.75076,0.81271,0.59701,1.02822,0.86713,1.59099,0.00607916,0.00607916,0.00607916
67,4288.22,0.71788,0.6203,1.19874,0.7761,0.76717,0.82166,0.60128,1.02469,0.86113,1.57862,0.00597754,0.00597754,0.00597754
68,4352.04,0.70828,0.61794,1.1948,0.80806,0.75122,0.81023,0.59261,1.04026,0.89937,1.61801,0.00587551,0.00587551,0.00587551
69,4415.53,0.70546,0.6049,1.18862,0.79676,0.74914,0.82066,0.60579,1.01934,0.90112,1.58885,0.00577311,0.00577311,0.00577311
70,4479.31,0.69862,0.60489,1.18225,0.79052,0.77401,0.81443,0.60221,1.01601,0.89203,1.59161,0.0056704,0.0056704,0.0056704
71,4543.48,0.69359,0.59028,1.17852,0.79807,0.75018,0.81458,0.59609,1.04095,0.88991,1.61813,0.00556742,0.00556742,0.00556742
72,4607.26,0.68791,0.58977,1.17676,0.80765,0.76515,0.81181,0.59793,1.03409,0.89591,1.61019,0.00546421,0.00546421,0.00546421
